name,Private,Top10perc,Top25perc,Room.Board,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,state,out_of_state_tuition
Alaska Pacific University,1,16,44,4120,76,11.9,2,10922,15,Alaska,20830.0
Albright College,1,30,63,4400,79,11.3,23,11644,80,Pennsylvania,45306.0
Amherst College,1,83,96,5300,93,8.4,63,21424,100,Massachusetts,56426.0
Auburn University-Main Campus,0,25,57,3933,85,16.7,18,6642,69,Alabama,30524.0
Augustana College,1,21,58,3244,66,10.4,30,6871,69,Illinois,42135.0
Averett College,1,16,40,4135,59,22.4,11,6523,48,Maryland,9870.0
Beaver College,1,23,56,5400,78,12.2,30,8954,73,Georgia,13475.0
Beloit College,1,26,54,3616,87,11.1,26,12957,69,Wisconsin,50040.0
Bemidji State University,0,12,36,2700,57,19.6,16,3752,46,Minnesota,8696.0
Bennington College,1,25,53,4100,35,10.1,33,16364,55,Vermont,54360.0
Berry College,1,37,68,3940,80,16.3,17,10511,63,Georgia,36556.0
Blackburn College,1,25,55,2700,76,14.3,53,8377,51,Illinois,22410.0
Bowdoin College,1,76,100,5885,93,11.2,52,20447,96,Maine,53922.0
Bradley University,1,30,58,4440,75,14.4,21,7671,85,Illinois,33760.0
Brandeis University,1,48,77,6750,90,9.8,24,17150,84,Massachusetts,55395.0
Brewton-Parker College,1,10,26,2370,62,12.6,10,4900,18,Georgia,18690.0
Bryn Mawr College,1,71,95,6750,100,12.3,49,17449,89,Pennsylvania,52360.0
California Lutheran University,1,23,52,5300,72,12.4,17,8985,60,California,42693.0
Calvin College,1,29,56,3710,75,14.8,41,7786,81,Michigan,34600.0
Canisius College,1,16,34,5340,90,14.6,26,7972,64,New York,28488.0
Capital University,1,34,66,4000,64,12.1,27,9557,83,Ohio,35466.0
Carleton College,1,75,93,3957,81,10.4,60,17960,91,Minnesota,54759.0
Carnegie Mellon University,1,60,89,5690,86,9.2,31,24386,74,Pennsylvania,55465.0
Carroll College,1,19,55,3880,74,17.8,25,7666,79,Montana,35486.0
Carthage College,1,20,43,3775,74,15.9,22,7364,62,Wisconsin,43550.0
Case Western Reserve University,1,71,93,4730,95,2.9,29,19733,67,Ohio,49042.0
Castleton State College,0,9,22,4690,89,14.7,8,6318,79,Georgia,12668.0
Catawba College,1,13,34,4100,75,13.5,27,8425,55,North Carolina,30520.0
Cazenovia College,1,9,35,4840,22,14.3,20,7697,65,New York,34630.0
Cedar Crest College,1,25,58,5285,58,11.7,39,10961,74,Pennsylvania,39216.0
Centenary College of Louisiana,1,35,55,3490,86,11.3,25,9685,66,Louisiana,36580.0
Central Connecticut State University,0,6,24,4444,69,16.7,4,4900,49,Connecticut,21856.0
Central Washington University,0,8,65,3603,67,18.1,0,6413,51,Washington,23053.0
Christendom College,1,33,71,3600,92,9.3,17,10922,58,Virginia,26360.0
Christian Brothers University,1,16,42,3260,81,11.1,24,8129,63,Tennessee,32820.0
Christopher Newport University,0,3,37,4750,80,21.2,16,4639,48,Virginia,27220.0
Claremont McKenna College,1,71,93,6010,99,9.6,52,18443,87,California,54405.0
Clarkson University,1,35,68,5580,95,15.8,32,11659,77,New York,49444.0
Colby College,1,58,84,5590,83,10.2,41,15954,91,Maine,55210.0
Colgate University,1,46,75,5565,95,10.5,45,15494,93,New York,55870.0
College of Mount St. Joseph,1,14,41,4430,46,11.1,35,6889,100,Pennsylvania,21275.0
College of Saint Benedict,1,29,62,4221,70,13.1,26,8847,72,Minnesota,45264.0
College of Saint Elizabeth,1,34,53,5250,68,11.4,23,9447,78,New Jersey,33613.0
College of Saint Rose,1,23,57,5666,66,14.3,28,6084,64,New York,32574.0
College of St. Scholastica,1,29,60,3696,54,11.6,33,8996,72,Minnesota,37212.0
College of Wooster,1,29,65,4690,84,11.1,43,14140,69,Ohio,50250.0
Colorado College,1,56,87,4190,85,11.3,51,14664,84,Colorado,55470.0
Connecticut College,1,42,93,6300,86,10.7,40,14773,91,Connecticut,54820.0
Converse College,1,35,70,3700,63,10.2,31,10965,75,South Carolina,18690.0
Cornell College,1,33,68,4323,71,12.2,31,10340,64,Iowa,42299.0
Creighton University,1,30,60,4372,85,6.5,32,22906,85,Nebraska,39916.0
Culver-Stockton College,1,24,55,3700,51,14.1,28,5807,51,Missouri,26680.0
Cumberland College,1,26,47,3526,42,13.0,4,8189,63,New Jersey,8700.0
Dartmouth College,1,87,99,6070,95,4.7,49,29619,98,New Hampshire,55453.0
Defiance College,1,10,26,3670,58,12.8,19,7505,56,Ohio,32730.0
Dickinson College,1,31,68,5000,87,11.2,39,13861,87,Pennsylvania,54661.0
Dillard University,1,41,88,3650,52,14.1,12,7566,61,Louisiana,18099.0
Dominican College of Blauvelt,1,4,19,5500,43,12.7,5,5480,54,New York,29000.0
Dordt College,1,25,50,2650,61,12.5,17,7325,87,Iowa,30870.0
Earlham College,1,35,63,4056,90,10.6,46,14634,78,Indiana,46450.0
Eastern Nazarene College,1,17,40,3500,58,17.3,17,6430,70,Massachusetts,25598.0
Elizabethtown College,1,36,70,4400,65,12.8,25,9815,81,Pennsylvania,46940.0
Emory & Henry College,1,30,60,4408,79,13.9,51,8061,82,Virginia,35135.0
Emory University,1,76,97,6000,97,5.0,28,28457,96,Georgia,51306.0
Evergreen State College,0,14,50,4600,75,18.1,14,8355,68,Washington,26459.0
Fairfield University,1,30,66,6200,86,15.1,30,11220,94,Connecticut,48350.0
Fayetteville State University,0,1,16,2550,75,15.1,10,6972,24,North Carolina,16523.0
Ferrum College,1,12,36,4200,53,12.5,9,7967,22,Virginia,34175.0
Flagler College,1,18,52,3200,52,18.1,9,3930,69,Florida,18950.0
Florida State University,0,50,90,4060,80,23.1,15,7250,58,Florida,21683.0
Fordham University,1,30,55,6965,86,14.4,14,10864,80,New York,52687.0
Fort Lewis College,0,16,35,3320,89,19.1,6,4362,46,Colorado,19696.0
Franciscan University of Steubenville,1,22,49,4400,57,14.9,8,6336,83,Ohio,27630.0
Franklin College,1,29,72,4040,54,12.5,37,11751,60,Indiana,32010.0
Franklin Pierce College,1,3,14,4630,50,17.6,16,6418,51,Washington,5112.0
Freed-Hardeman University,1,20,54,3340,68,16.1,13,6078,62,Tennessee,21950.0
Fresno Pacific College,1,51,87,3670,59,10.5,14,8095,54,California,15804.0
Gannon University,1,24,57,4280,47,13.3,18,7711,65,Pennsylvania,32136.0
Gardner Webb University,1,18,36,4270,65,15.2,12,5664,29,North Carolina,31220.0
Geneva College,1,19,39,4820,67,20.1,26,6786,74,Pennsylvania,26730.0
Georgetown College,1,30,55,3950,73,13.3,28,7508,55,Kentucky,38650.0
Gettysburg College,1,42,78,4328,94,12.1,32,14720,83,Pennsylvania,54480.0
Goldey Beacom College,1,10,27,2985,25,27.6,4,6081,36,Delaware,24300.0
Gonzaga University,1,31,67,4450,78,14.7,32,9553,69,Washington,43210.0
Goshen College,1,26,51,3730,51,9.9,46,10270,72,Indiana,33700.0
Goucher College,1,40,64,6174,78,9.2,34,16623,77,Maryland,44300.0
Green Mountain College,1,7,20,2700,77,14.0,24,6475,76,Vermont,37002.0
Greensboro College,1,10,31,3770,64,13.0,31,7949,39,North Carolina,29140.0
Grinnell College,1,56,91,4618,88,9.5,54,18979,83,Iowa,52392.0
Guilford College,1,18,44,5160,78,15.6,30,9114,65,North Carolina,38250.0
Gustavus Adolphus College,1,36,72,3600,79,12.5,58,9907,80,Minnesota,45400.0
Hamilton College,1,40,82,5050,91,9.6,60,17761,91,New York,54620.0
Hamline University,1,34,73,4194,89,13.0,33,10296,65,Minnesota,41298.0
Hampden - Sydney College,1,20,40,4773,95,13.3,53,12263,69,Virginia,45746.0
Hardin-Simmons University,1,16,40,2980,75,13.7,10,7054,38,Texas,28990.0
Hartwick College,1,22,49,4780,75,12.3,32,11625,73,New York,45510.0
Harvey Mudd College,1,95,100,6690,100,8.2,46,21569,100,California,56876.0
Hastings College,1,22,52,3272,57,13.0,17,7335,52,Nebraska,30050.0
Hillsdale College,1,35,66,4700,80,12.0,31,12639,79,Michigan,27577.0
Hiram College,1,37,66,4560,75,10.6,34,12165,79,Ohio,34300.0
Hofstra University,1,25,63,5920,81,13.9,10,10093,60,New York,46760.0
Hood College,1,36,64,6040,82,14.4,34,12434,72,Maryland,39492.0
Hope College,1,37,69,4341,72,12.5,40,9284,72,Michigan,34010.0
Houghton College,1,30,70,3550,85,15.0,24,8187,67,New York,32488.0
Huntingdon College,1,26,47,3920,63,11.4,9,7703,44,Alabama,27400.0
Huntington College,1,20,46,3920,76,11.8,25,9466,47,Tennessee,6635.0
Husson College,1,10,30,4000,36,22.0,4,4923,84,Kansas,26900.0
Illinois State University,0,10,35,3403,77,21.0,16,5569,54,Illinois,26040.0
Illinois Wesleyan University,1,55,86,4090,77,12.9,34,9605,83,Illinois,47636.0
Indiana State University,0,10,31,3706,72,16.6,8,6996,40,Indiana,19836.0
Indiana University at Bloomington,0,25,72,3990,77,21.3,24,8686,68,Indiana,35456.0
Indiana Wesleyan University,1,20,48,3782,49,39.8,15,6562,34,Indiana,25980.0
Ithaca College,1,23,52,6192,58,11.5,25,9812,75,New York,43978.0
James Madison University,0,32,72,4544,77,17.9,29,5212,98,Virginia,28416.0
Johnson State College,0,3,13,4690,80,14.4,15,6564,36,Pennsylvania,18641.0
Judson College,1,10,30,4554,34,10.6,30,7840,56,Alabama,18510.0
